Name	Primary Author(s)	RSS Feed URL	Access	Description	Publishing Cadence	Tags	Status	Last Post
Tomasz Tunguz	Tomasz Tunguz	https://tomtunguz.com/index.xml	Free	Daily concise posts on SaaS economics, data infrastructure, AI, enterprise software trends, fundraising benchmarks, and go-to-market metrics from the Theory Ventures founder.	Daily	saas, enterprise, data, ai, metrics	Active	2026-06-05
SaaStr	Jason Lemkin	https://www.saastr.com/feed/	Free	Tactical B2B SaaS advice on scaling revenue from $1M to $100M+ ARR: sales, hiring, fundraising, pricing, churn, and go-to-market. Operator-focused for founders and product leaders.	Daily	saas, enterprise, sales, go-to-market, b2b	Active	2026-06-05
Stratechery	Ben Thompson	https://stratechery.com/feed/	Paid	Strategic analysis of tech business models, platforms, Aggregation Theory, and the economics of software and internet companies. Deep frameworks on competitive dynamics across big tech and SaaS.	Weekly	strategy, platform, enterprise, business-models, tech	Active	2026-06-05
Platformer	Casey Newton	https://www.platformer.news/rss/	Freemium	Reporting and analysis at the intersection of tech platforms, social media, content moderation, AI, and the policy/power dynamics of large platform companies.	Others (multiple/week)	platform, policy, tech, ai, social-media	Active	2026-06-04
This Week in Apps	Sarah Perez	https://appfigures.com/resources/rss/this-week-in-apps	Freemium	Coverage of the mobile app ecosystem: app-store policy, download/revenue trends, platform changes from Apple and Google, and product launches. Useful for mobile and platform PMs.	Weekly	mobile, apps, platform, product, ecosystem	Active	2026-03-13
The Generalist	Mario Gabriele	https://www.generalist.com/feed	Freemium	Long-form deep dives on technology companies, venture capital, founders, and market trends across SaaS, fintech, crypto, and emerging tech. Narrative business analysis and frameworks.	Weekly	venture, strategy, saas, fintech, b2b	Active	2026-06-04
Not Boring	Packy McCormick	https://www.notboring.co/feed	Freemium	Business strategy essays on startups, tech, crypto, and emerging markets, blending storytelling with analysis: company deep dives, market theses, and macro tech trends.	Weekly	strategy, venture, tech, fintech, crypto	Active	2026-06-05
The GTMnow Newsletter	GTMfund (Scott Barker, Sophie Buonassisi)	https://thegtmnewsletter.substack.com/feed	Free	Go-to-market strategy, sales, and growth tactics for B2B SaaS, drawn from GTMfund's network of operators and investors. Deep dives plus interviews with top GTM leaders and founders.	Weekly	saas, go-to-market, sales, b2b, enterprise	Active	2026-06-05
Public Comps Insights	Jon Ma	https://publiccomps.substack.com/feed	Freemium	Teardowns of public SaaS companies, valuation multiples, IPO reviews, and benchmark analysis (Rule of 40, EV/NTM ARR). Data-driven views for SaaS investors and operators.	Others (Irregular)	saas, metrics, valuation, b2b, finance	Inactive	2020-01-10
Tanay's Newsletter	Tanay Jaipuria	https://www.tanayj.com/feed	Freemium	Essays on tech and business strategy: big tech, generative AI, SaaS and AI infrastructure, business models, and market analysis from a Wing VC and ex-Meta PM.	Weekly	strategy, ai, saas, enterprise, b2b	Active	2026-06-05
a16z Enterprise Newsletter	Andreessen Horowitz (enterprise team)	https://www.a16z.news/feed	Free	a16z's enterprise/B2B briefing covering AI, data, open source, security, and company building. Curated investor and operator perspectives on the B2B tech stack.	Monthly	enterprise, saas, ai, b2b, dev-tools	Active	2026-06-05
Elad's Newsletter (Elad Blog)	Elad Gil	https://blog.eladgil.com/feed	Free	Essays on startups, scaling, AI, markets, and company building from a serial founder, operator, and prolific angel investor. High-altitude advice for founders and senior operators.	Others (Irregular)	startups, ai, strategy, venture, scaling	Active	2026-04-20
The SaaS Baton	Krish Subramanian & Rajaraman Santhanam (Chargebee)	https://pmfevals.substack.com/feed	Free	Three crisp, actionable lessons per edition drawn from interviews with SaaS founders and operators on hiring, cash flow, pricing, and building products, from Chargebee's Relay community.	Others (Irregular)	saas, b2b, operators, product, pricing	Active	2026-05-16
Blossom Street Ventures	Sammy Abdullah	https://www.blossomstreetventures.com/blog-feed.xml	Free	Data-driven posts benchmarking public and private SaaS metrics: revenue growth, net/gross dollar retention, CAC, margins, and venture fundraising trends. Numbers-first analysis for operators.	Weekly	saas, metrics, venture, b2b, finance	Active	2026-04-03
A Smart Bear (Longform)	Jason Cohen	https://longform.asmartbear.com/index.xml	Free	Dense, evergreen longform essays from the founder of WP Engine and Smart Bear (two unicorns). Covers startup and product strategy, pricing and business models, decision-making, positioning, and growth—first-principles thinking for founders and senior PMs.	Others (Irregular)	strategy, pricing, business-models, startups, decision-making	Active	2026-05-24
Dan Hock's Essays	Dan Hockenmaier	https://www.danhock.co/feed	Freemium	Infrequent but rigorous longform essays on the strategy and tactics of growing startups and growing your career, from Faire's Chief Strategy Officer (ex-Thumbtack growth, ex-Reforge partner). Especially deep on marketplaces, network effects, growth models, and monetization.	Others (Irregular)	marketplaces, growth, strategy, network-effects, monetization	Active	2026-04-08
The Bootstrapped Founder	Arvid Kahl	https://www.thebootstrappedfounder.com/feed	Freemium	Tactical, honest lessons on building and scaling software businesses without venture capital, from a founder who built and sold a SaaS. Covers audience-building, monetization, data moats, and AI integration for indie and bootstrapped operators.	Weekly	bootstrapping, saas, indie-hackers, audience-building, monetization	Inactive	2023-10-22
Greg's Letter (Late Checkout)	Greg Isenberg	https://latecheckout.substack.com/feed	Free	Weekly free startup ideas plus insights on building internet communities, products people love, and audience-driven businesses. Idea-machine, zero-to-one thinking for consumer and community builders.	Weekly	startup-ideas, communities, consumer-internet, product, indie	Active	2026-04-24
The Curiosity Chronicle	Sahil Bloom	https://sahilbloom.substack.com/feed	Freemium	Actionable frameworks for building a high-performing life, with frequent threads on entrepreneurship, decision-making, and personal growth. Consistency-driven builder mindset content for a near-million readership.	Weekly	personal-growth, frameworks, wealth, entrepreneurship, mindset	Active	2026-06-05
RadReads	Khe Hy	https://radreads.substack.com/feed	Freemium	Weekly Saturday essays on productivity, leadership, money, and designing a meaningful career for high performers. Reflective builder/operator craft from a former Wall Street MD turned solopreneur.	Weekly	productivity, leadership, career, money, solopreneur	Inactive	2025-09-21
Steph Smith's Blog	Steph Smith	https://blog.stephsmith.io/rss/	Free	Long-form essays on remote work, internet trends, continuous growth, building products, and making sense of online data. Builder/operator perspective from an ex-a16z podcast host and Internet Pipes creator.	Others (Irregular)	internet-trends, remote-work, growth, data, building	Inactive	2020-11-19
Elizabeth Yin's Blog	Elizabeth Yin	https://elizabethyin.com/feed/	Free	Tactical, candid posts on startup fundraising, investing, and go-to-market from the Hustle Fund co-founder. Demystifies pre-seed/seed raising with concrete data and founder-friendly playbooks.	Others (Irregular)	fundraising, pre-seed, vc, gtm, startup-tactics	Active	2026-04-24
HEY World (DHH)	David Heinemeier Hansson	https://world.hey.com/dhh/feed.atom	Free	Opinionated essays on software, business philosophy, calm growth, remote work, and bootstrapping from the 37signals co-founder. A contrarian, profitable-company-building point of view.	Others (Irregular)	bootstrapping, 37signals, software, business-philosophy, calm-company	Active	2026-06-03
HEY World (Jason Fried)	Jason Fried	https://world.hey.com/jason/feed.atom	Free	Short, sharp posts on running a profitable, sane software company, product simplicity, and unconventional management from the 37signals co-founder. Builder craft over hypergrowth dogma.	Others (Irregular)	37signals, product, management, calm-company, bootstrapping	Active	2026-03-20
20VC Newsletter	Harry Stebbings	https://20vc.substack.com/feed	Free	Distilled insights, frameworks, and episode takeaways from interviews with leading founders and investors. Fortnightly venture and company-building lessons for ambitious operators.	Fortnightly	venture-capital, founders, fundraising, scaling, interviews	Active	2026-06-01
Nathan Barry	Nathan Barry	https://nathanbarry.com/feed	Free	Essays on building a creator-led business, audience growth, product, and scaling Kit (ConvertKit). Builder craft from a designer-founder who bootstrapped to a $45M+ SaaS.	Others (Irregular)	creator-economy, saas, audience, product, founder-journey	Active	2026-06-04
levels.io	Pieter Levels	https://levels.io/rss/	Free	Raw, transparent posts on building profitable indie products solo (Nomad List, Remote OK, PhotoAI), revenue numbers, and shipping fast. Canonical build-in-public indie-hacker source.	Others (Irregular)	indie-hacking, build-in-public, solo-founder, saas, bootstrapping	Active	2026-06-04
This Week in Startups	Jason Calacanis	https://twistartups.substack.com/feed	Free	Founder- and startup-focused notes tied to the long-running TWiST podcast, covering fundraising, building, and tech-market shifts. Energetic, operator-investor commentary for early founders.	Weekly	startups, fundraising, founders, tech, podcast-companion	Active	2026-06-11
Bottom Up	David Sacks	https://sacks.substack.com/feed	Free	Playbooks for building software companies—SaaS GTM, sales metrics, pipeline, and scaling—from the Craft Ventures founder and former PayPal/Yammer operator. Dense, reusable operating frameworks.	Others (Irregular)	saas, gtm, sales-metrics, scaling, operating-playbooks	Active	2026-06-06
Sam Altman's Blog	Sam Altman	https://blog.samaltman.com/posts.atom	Free	Essays on startups, ambition, productivity, and AI from the OpenAI CEO and former YC president. Concise, high-signal advice on building and thinking like a founder.	Others (Irregular)	startups, ai, ambition, yc, founder-mindset	Active	2026-06-05
Working Theorys	Anu Atluru	https://www.workingtheorys.com/feed	Freemium	Essays on people, technology, startups, and the future from a founder-writer (early Clubhouse, now running a product studio). Thoughtful zero-to-one and company-building reflections.	Fortnightly	startups, zero-to-one, culture, product, essays	Active	2026-04-15
Marketing Ideas	Tom Orbach	https://www.marketingideas.com/feed	Free	Weekly drop of concrete, scrappy marketing and growth tactics founders can copy. Tool-driven, viral-experiment energy from a growth marketer building in public.	Weekly	marketing, growth, tactics, scrappy, founders	Active	2026-06-04
Tony Dinh's Newsletter	Tony Dinh	https://news.tonydinh.com/feed	Free	Monthly indie-hacking updates with revenue numbers, product lessons, and build-in-public reflections from a solo founder running $1M+ ARR in tools (TypingMind). Transparent maker journey.	Monthly	indie-hacking, build-in-public, revenue-reports, solo-founder, saas	Inactive	2025-11-27
Small Bets	Daniel Vassallo	https://newsletter.smallbets.co/feed	Freemium	Lessons on building a diversified portfolio of small, low-risk income streams instead of one big bet. Anti-fragile entrepreneurship for creators and indie makers from an ex-Amazon engineer.	Others (Irregular)	small-bets, indie, portfolio-income, creators, anti-fragile	Active	2026-06-06
App Economy Insights (How They Make Money)	Bertrand (App Economy Insights)	https://www.appeconomyinsights.com/feed	Freemium	Visual weekly breakdowns of how major tech, fintech, and consumer companies make money—anchored on earnings and business-model charts. Excellent for PMs learning to read financials and competitive positioning fluently.	Weekly	business-models, financials, earnings, visual-explainers, strategy	Active	2026-06-05
Money Stuff	Matt Levine (Bloomberg Opinion)	https://www.bloomberg.com/opinion/authors/ARbTQlRLRjE/matthew-s-levine.rss	Free	Wry, deeply informed daily column on finance, markets, market structure, and corporate absurdity from a former M&A lawyer and banker. A masterclass in clear, funny explanatory writing about how incentives work.	Daily	finance, markets, corporate-strategy, incentives, writing	Active	2026-06-04
The Diff	Byrne Hobart	https://www.thediff.co/feed	Paid	Daily analysis of inflections in finance and technology, connecting business strategy, capital markets, and historical patterns. Frequent deep dives on individual companies and competitive dynamics.	Daily	strategy, finance, tech, deep-dives, business-analysis	Inactive	2022-11-14
Capital Gains	Byrne Hobart	https://rss.beehiiv.com/feeds/JyXsSUwlAE.xml	Free	The free companion to The Diff, teaching how to think about finance, economics, and corporate strategy from first principles. Shorter explainer pieces on M&A, market structure, and business models.	Weekly	finance, economics, strategy, mental-models	Active	2026-06-03
Noahpinion	Noah Smith	https://www.noahpinion.blog/feed	Freemium	Economics, technology, and policy commentary that frames macro and industry trends in plain language. Useful for building a model of how the broader economy shapes markets and products.	Others (several/week)	economics, policy, tech-trends, macro	Active	2026-06-04
Kyla's Newsletter	Kyla Scanlon	https://kyla.substack.com/feed	Freemium	Human-centric economic analysis connecting markets, sentiment, and culture (coined "vibecession"). Accessible takes on how the economy feels versus how it measures.	Weekly	economics, markets, culture, sentiment	Active	2026-05-28
Benedict Evans	Benedict Evans	https://www.ben-evans.com/benedictevans?format=rss	Free	Essays on technology strategy, platform shifts, and the structural forces shaping tech, from a former a16z partner. Synthesizes market data into clear strategic frameworks—essential for reasoning about platform-level change.	Weekly	tech-strategy, platforms, market-analysis, ai	Active	2026-05-24
Doomberg	Doomberg team	https://newsletter.doomberg.com/feed	Freemium	Hard-hitting analysis of energy, commodities, and macro through a business-strategy lens. Contrarian, well-sourced takes on the physical economy underpinning tech and markets.	Weekly	energy, commodities, macro, strategy	Active	2026-06-04
Spyglass	M.G. Siegler	https://spyglass.org/feed/	Freemium	Insight on technology, media, and product strategy from a longtime VC and tech writer. Sharp commentary on Apple, AI, streaming, and platform moves—reading the strategic subtext behind big-tech decisions.	Others (several/week)	tech, product-strategy, big-tech, media	Active	2026-06-03
Where's Your Ed At	Ed Zitron	https://www.wheresyoured.at/rss/	Free	Combative, deeply reported critiques of the tech industry, AI economics, and "rot economy" incentives. A counterweight to hype that forces rigorous thinking about unit economics and sustainability.	Weekly	tech-criticism, ai-economics, business-models, contrarian	Active	2026-06-05
Musings on Markets	Aswath Damodaran	https://aswathdamodaran.blogspot.com/feeds/posts/default	Free	The "Dean of Valuation" breaks down company valuations, corporate finance, and market narratives with rigor. Teaches how to connect strategy and storytelling to numbers, with frequent company case studies.	Others (Irregular)	valuation, corporate-finance, company-analysis, narrative	Active	2026-06-04
Remains of the Day	Eugene Wei	https://www.eugenewei.com/blog?format=rss	Free	Rare but exceptional essays on product strategy, network effects, status games, and consumer tech (TikTok, status-as-a-service). Each piece is a deep, original framework—among the most influential product-strategy writing online.	Others (Irregular)	product-strategy, network-effects, consumer-tech, frameworks	Inactive	2023-07-07
kwokchain	Kevin Kwok	https://kwokchain.com/feed/	Free	Infrequent but high-signal essays on strategy, narrative distillation, business models, and venture dynamics. Dense, conceptual reading on positioning and moats (known for the "Narrative Distillation" framework).	Others (Irregular)	strategy, business-models, venture, frameworks	Active	2026-04-23
The Information	Jessica Lessin & team	https://www.theinformation.com/feed	Paid	Premium tech-industry journalism with original reporting on AI, big tech, startups, and dealmaking. Breaks news on strategic moves before they're widely understood—useful for tracking the competitive landscape.	Daily	tech-news, reporting, startups, ai	Active	2026-06-05
Sub Club	RevenueCat (David Barnard, Jacob Eiting et al.)	https://www.revenuecat.com/blog/rss.xml	Free	Curated insights and stories from the smartest people in subscription apps—mobile monetization, paywalls, trials, pricing, and retention. Pairs with the Sub Club podcast and State of Subscription Apps benchmarks.	Fortnightly	consumer-subscription, app-monetization, paywalls, mobile, retention	Active	2026-04-22
Elemental Growth	Phil Carter	https://philgcarter.substack.com/feed	Freemium	Frameworks, strategies, and tactics to grow consumer subscription businesses, including the widely cited Subscription Value Loop. From a former VC and growth leader (Faire, Quizlet, Ibotta) who advises subscription apps.	Others (Irregular)	consumer-subscription, growth, pricing, frameworks, apps	Inactive	2024-09-01
Ibbaka Market Blog	Steven Forth & Ibbaka team	https://www.ibbaka.com/ibbaka-market-blog?format=rss	Free	Strategic B2B SaaS and value-based pricing insights—economic value estimation, value metrics, usage/credit-based pricing, and AI monetization. Analytical, advisory-grade pieces on pricing strategy.	Weekly	value-based-pricing, b2b-saas, pricing-strategy, monetization, ai-pricing	Active	2025-12-30
Subscribed (Zuora)	Tien Tzuo & Zuora team	https://medium.com/feed/@subscribed	Free	From the company that coined "the subscription economy": recurring revenue, consumption/usage models, and the unbundling and rebundling of services. Strategic perspective from the author of Subscribed.	Monthly	subscription-economy, recurring-revenue, usage-based, monetization, strategy	Inactive	2016-11-20
Press Gazette	Dominic Ponsford & team	https://pressgazette.substack.com/feed	Freemium	The "Future of Media" trade title with deep coverage of news-publisher subscriptions, paywalls, and reader revenue—including its closely watched ranking of publishers with 100k+ paying subscribers.	Daily	media-subscriptions, paywalls, reader-revenue, publishing, benchmarks	Active	2026-06-04
A Media Operator	Jacob Cohen Donnelly	https://www.amediaoperator.com/feed/	Freemium	Twice-weekly strategic and tactical analysis on building, growing, and monetizing digital media companies, with heavy focus on subscription products, bundling, and reader-revenue models.	Weekly	media-subscriptions, monetization, publishing, bundling, recurring-revenue	Active	2026-06-04
Subscription Insider	Kathy Greenler Sexton	https://www.subscriptioninsider.com/feed	Freemium	Subscription-economy news, research, and training for operators across pricing, payments, retention, and compliance. Tracks public-company subscription earnings and recurring-revenue strategy.	Daily	subscription-economy, recurring-revenue, pricing, retention, payments	Active	2026-05-16
SaaSletter	Matt Harney	https://www.saasletter.com/feed	Freemium	A chart-heavy cloud + SaaS newsletter from a Cloud Ratings principal analyst, covering SaaS metrics, NRR/retention economics, pricing trends, and benchmarks. Strong on the financial side of SaaS.	Others (Irregular)	saas-metrics, monetization, retention, benchmarks, pricing	Active	2026-05-08
GP Bullhound CSS	Eric Crowley & GP Bullhound	https://www.gpbullhound.com/feed/	Free	Reports and commentary on the consumer subscription software (CSS) sector—app subscription M&A, churn management, the "Chief Household Officer," and how consumer subscriptions perform across cycles.	Others (Irregular)	consumer-subscription, css, market-analysis, app-subscriptions, m-and-a	Inactive	2024-03-01
NFX	James Currier, Gigi Levy-Weiss et al. (NFX)	https://medium.com/feed/@nfx	Free	Essays and frameworks on network effects and marketplace defensibility from the NFX seed fund—home of the Network Effects Bible, marketplace playbooks, and B2B/consumer teardowns. Required reading for two-sided businesses.	Others (Irregular)	marketplaces, network-effects, venture-capital, defensibility, platforms	Inactive	2022-01-13
Sarah Tavel	Sarah Tavel (Benchmark)	https://sarahtavel.medium.com/feed	Free	Benchmark GP and author of the canonical "Hierarchy of Marketplaces" and "Hierarchy of Engagement." Deep, practitioner essays on building winner-take-most marketplaces, liquidity, and consumer network effects.	Others (Irregular)	marketplaces, frameworks, network-effects, consumer, venture-capital	Inactive	2024-04-02
Above the Crowd	Bill Gurley (Benchmark)	https://abovethecrowd.com/feed/	Free	The legendary Benchmark investor's long-running blog on marketplaces, online businesses, unit economics, take rates, and platform dynamics. Infrequent but foundational essays.	Others (Irregular)	marketplaces, venture-capital, unit-economics, take-rate, valuations	Inactive	2025-11-03
Platforms (Sangeet Paul Choudary)	Sangeet Paul Choudary	https://platforms.substack.com/feed	Freemium	Author of Platform Revolution on platform strategy, ecosystem competition, platformization, and how AI reshapes platform power and the knowledge economy. Rigorous, framework-driven analysis.	Weekly	platforms, ecosystems, network-effects, ai, strategy	Active	2026-05-31
Newcomer	Eric Newcomer	https://www.newcomer.co/feed	Freemium	Deeply reported newsletter on the startup/VC industry—fundraising scoops, power dynamics inside venture firms, and interviews. Strong on marketplace, consumer, and platform-company financings and strategy.	Weekly	venture-capital, startups, scoops, tech-industry	Active	2026-06-05
2PM	Web Smith	https://2pml.com/feed/	Freemium	Where media meets commerce: curated news plus original analysis on DTC, retail, brand, and the commerce-media intersection. A cult favorite among commerce operators and investors.	Weekly	ecommerce, dtc, retail, media, brand	Active	2026-05-18
Modern Retail	Digiday Media	https://www.modernretail.co/feed/	Free	Original journalism on the reinvention of retail—DTC brand evolution, the Amazon era, retail media networks, marketplaces, and omnichannel. Deeper investigative pieces than most daily retail briefings.	Daily	retail, ecommerce, dtc, amazon, retail-media	Active	2026-06-04
Practical Ecommerce	Practical Ecommerce team	https://www.practicalecommerce.com/feed	Free	Independent how-to journalism for online merchants—Amazon, SEO, conversion, payments, multichannel, and shipping. Hands-on, operator-focused content for running an ecommerce business.	Daily	ecommerce, merchants, seo, operations, multichannel	Active	2026-06-05
The Consumer VC	Mike Gelb	https://www.theconsumervc.com/feed	Freemium	Newsletter and podcast on investing in consumer startups—marketplaces, CPG, commerce, DTC—with weekly fundraising/M&A roundups and interviews with consumer-focused VCs and founders.	Weekly	consumer, venture-capital, dtc, marketplaces, cpg	Active	2026-06-05
TSOH Investment Research	Alex Morris	https://thescienceofhitting.com/feed	Freemium	Transparent long-term equity research with full portfolio disclosure, heavy on consumer, retail, and platform businesses (dollar stores, Amazon, media). Investor-grade reasoning on commerce companies.	Weekly	investing, retail, consumer-stocks, equity-research	Active	2026-06-05
All4Marketplaces	Jordi Ordóñez	https://all4marketplaces.com/feed	Free	News, tools, and tactics on Amazon and other marketplaces—Seller/Vendor strategy, catalog management, and third-party selling. Practitioner-oriented coverage of the marketplace-seller ecosystem.	Weekly	marketplaces, amazon, sellers, ecommerce, tools	Active	2026-05-29
API Evangelist	Kin Lane	https://apievangelist.com/feed.xml	Free	The definitive long-running resource on the technology, business, politics, and people of APIs—API governance, the API economy, and platform/ecosystem strategy. Essential for PMs working on APIs and developer platforms.	Daily	apis, platforms, developer-ecosystems, governance, api-economy	Active	2026-06-05
DTC Newsletter	Nik Sharma (Sharma Brands)	https://sharmabrands.com/blogs/newsletter.atom	Free	Weekly Sunday tactical newsletter on DTC branding, conversion, creative, and growth from a leading DTC operator/investor. Practical playbooks for launching and scaling consumer brands online.	Weekly	dtc, ecommerce, branding, growth, consumer	Inactive	2024-11-25
Eugene Yan	Eugene Yan	https://eugeneyan.com/rss/	Free	Applied ML, recommender systems, and LLM systems from a Member of Technical Staff at Anthropic (ex-Amazon/Alibaba). Deep, practitioner-grade essays on building ML/recsys/LLM systems in production, plus career advice.	Others (Irregular)	applied-ml, recsys, llm-systems, ml-engineering, production-ml	Active	2026-05-03
Ahead of AI	Sebastian Raschka	https://magazine.sebastianraschka.com/feed	Freemium	Technical deep dives into LLM architectures, curated research-paper roundups, and annual state-of-the-art reviews from the author of Build a Large Language Model From Scratch. Code-driven, implementation-focused.	Fortnightly	llms, ml-research, deep-learning, from-scratch, paper-reviews	Active	2026-05-16
Chip Huyen's Blog	Chip Huyen	https://huyenchip.com/feed.xml	Free	Practitioner essays on ML systems and AI engineering in production from the author of Designing Machine Learning Systems and AI Engineering. Covers ML platform architecture, agents, and real-world deployment.	Others (Irregular)	ml-systems, ai-engineering, production-ml, mlops, agents	Inactive	2025-01-16
The AiEdge	Damien Benveniste	https://newsletter.theaiedge.io/feed	Freemium	A continuous-learning newsletter on ML applications, ML system design, MLOps, recommender systems, RAG, and agents from a former Meta ML tech lead. Serialized deep dives and hands-on tutorials.	Weekly	ml-system-design, mlops, recsys, llms, tutorials	Inactive	2025-09-29
SwirlAI Newsletter	Aurimas Griciunas	https://www.newsletter.swirlai.com/feed	Freemium	Explains data engineering, ML, MLOps, and GenAI systems engineering (RAG, agentic AI, evals) in digestible form with strong visual diagrams. Connects the dots across the end-to-end data and AI pipeline.	Weekly	data-engineering, mlops, ai-engineering, rag, agents	Active	2026-05-27
Deep (Learning) Focus	Cameron R. Wolfe	https://cameronrwolfe.substack.com/feed	Freemium	In-depth research overviews on deep learning and AI from a Netflix senior research scientist. Each series focuses on one topic, distilling multiple papers with extensive background for comprehensive understanding.	Weekly	deep-learning, ml-research, llms, rl, paper-deep-dives	Active	2026-05-18
Hamel's Blog	Hamel Husain	https://hamelhusain.substack.com/feed	Free	Focused on bringing rigorous data science to AI through "evals"—helping teams debug, analyze, and measure LLM systems. Covers error analysis, data flywheels, and trustworthy automated evaluation.	Others (Irregular)	ai-evals, llm-evaluation, applied-ai, data-science, ml-engineering	Active	2026-06-03
Normcore Tech	Vicki Boykis	https://newsletter.vickiboykis.com/rss/	Freemium	Thoughtful technical writing at the intersection of ML systems, engineering craft, and tech culture. Covers embeddings, LLMs, recsys-adjacent topics, and production systems, grounded in nuance.	Weekly	ml-systems, embeddings, llms, engineering-culture, data	Active	2026-05-29
Data Engineering Weekly	Ananth Packkildurai	https://www.dataengineeringweekly.com/feed	Freemium	Weekly curated digest of the most important data-engineering writing—modern data platforms, large-scale pipelines, lakehouses, and increasingly AI-driven and ML data architectures. A staple for data/ML platform practitioners.	Weekly	data-engineering, data-platforms, pipelines, mlops, curated	Active	2026-06-01
Gradient Flow	Ben Lorica	https://gradientflow.substack.com/feed	Freemium	Frameworks and analysis on applied AI, small/large language models, data engineering, and AI knowledge work, from the former O'Reilly Chief Data Scientist who hosts the Data Exchange podcast.	Weekly	applied-ai, data-engineering, llms, ai-strategy, analysis	Active	2026-06-02
NLP News	Sebastian Ruder	https://newsletter.ruder.io/feed	Freemium	Regular analyses of advances in NLP and ML from a leading NLP researcher—contextualizing new trends, summarizing research, and offering guidance on future directions at a practitioner level.	Others (Irregular)	nlp, llms, ml-research, trends, paper-summaries	Inactive	2024-05-13
Top Information Retrieval Papers of the Week	Sumit Kumar	https://recsys.substack.com/feed	Free	Weekly curation of the 7-10 most notable research papers in information retrieval—recommender systems, search, retrieval, and ranking—each with a brief summary. Tracks industrial work from Meta, Uber, LinkedIn.	Weekly	recsys, information-retrieval, search, ranking, paper-roundup	Active	2026-06-05
RecsysML + LLMs	Gaurav Chakravorty	https://recsysml.substack.com/feed	Freemium	State-of-the-art applied ML focused on recommender systems and their convergence with LLMs—generative retrieval, RL-aligned ranking, embeddings, and ML design interviews. By a 20-year applied-ML veteran.	Others (Irregular)	recsys, applied-ml, llms, generative-retrieval, ranking	Active	2026-05-23
Language Models & Co.	Jay Alammar	https://newsletter.languagemodels.co/feed	Freemium	Visual, intuitive explanations of large language models—their internals and applications—from the creator of The Illustrated Transformer and co-author of Hands-On Large Language Models.	Others (Irregular)	llms, transformers, visual-explainers, nlp, applied-ai	Inactive	2025-11-03
Lil'Log	Lilian Weng	https://lilianweng.github.io/index.xml	Free	Rigorous, long-form learning notes on AI/ML research—LLMs, agents, reinforcement learning, diffusion, transformers—by a prominent ML researcher (ex-OpenAI). Each post is an authoritative, deeply referenced survey.	Others (Irregular)	ml-research, llms, rl, diffusion, deep-learning	Inactive	2025-05-01
MLOps Newsletter	Bugra Akyildiz	https://mlops.substack.com/feed	Free	Mostly-weekly roundup of developments across machine learning and deep learning, with a strong systems/recommendations bent. Practical signal on MLOps tooling, papers, and industry engineering.	Weekly	mlops, ml-engineering, recsys, deep-learning, curated	Active	2026-02-15
Marvelous MLOps	Maria Vechtomova & Başak Tuğçe Eskili	https://marvelousmlops.substack.com/feed	Freemium	Pragmatic MLOps content focused on connecting existing tools to support real MLOps standards in production. Hands-on guidance for ML platform builders, plus an accompanying podcast.	Weekly	mlops, ml-platforms, production-ml, tooling, best-practices	Active	2026-03-06
Exploring Language Models	Maarten Grootendorst	https://newsletter.maartengrootendorst.com/feed	Freemium	Visual guides and deep dives into large language models—quantization, mixture-of-experts, embeddings, and architecture internals—by an ML engineer and co-author of Hands-On Large Language Models.	Others (Irregular)	llms, visual-guides, nlp, quantization, embeddings	Active	2026-06-03
Daily Dose of Data Science	Avi Chawla	https://www.dailydoseofds.com/rss/	Freemium	Bite-sized daily lessons on data science and ML—lesser-known techniques, ML system design, MLOps, RL, LLMs, and AI agents—each readable in a couple of minutes with practical, hands-on framing.	Daily	data-science, ml-engineering, mlops, llms, tutorials	Active	2026-05-31
amatria.in	Xavier Amatriain	https://amatria.in/blog/feed.xml	Free	Clear, real-world-grounded writing on AI, LLMs, reinforcement learning, and recommender systems from a leading practitioner (ex-Netflix recommendations, ex-Google AI, Curai founder). Includes recsys conference recaps.	Others (Irregular)	applied-ai, recsys, llms, ml-systems, industry	Active	2026-05-02
Below the Line	Kevin LaBuz	https://kjlabuz.substack.com/feed	Freemium	Breaks down business models and how technology reshapes them, with deep e-commerce and marketplace economics coverage (Amazon, Shopify, Etsy, eBay). Operator-grade analysis of liquidity, network effects, and AI's P&L impact.	Weekly	marketplaces, ecommerce, strategy, business-models	Active	2025-12-14
Thought Sparks	Rita McGrath	https://thoughtsparks.substack.com/feed	Freemium	A Columbia Business School professor's essays on strategy, innovation, and growth—including inflection points and platform/ecosystem economics. Bridges academic strategy frameworks with practical company examples.	Weekly	strategy, innovation, platforms, growth	Active	2026-05-21
Run the Business	Ibrahim Bashir	https://runthebusiness.substack.com/feed	Freemium	Product-leadership essays on strategy, execution, metrics, and B2B SaaS from a seasoned VP of Product. Covers north-star metrics, marketplace/platform PM, org dynamics, and durable value creation.	Weekly	product, b2b-saas, strategy, leadership, metrics	Active	2026-05-27
The Secret CFO	Anonymous (veteran CFO)	https://thesecretcfo.substack.com/feed	Freemium	Finance-leadership wisdom not taught in textbooks, written by an anonymous veteran CFO. Covers cash flow, profitability, capital allocation, and investor relations in plain language for founders and operators.	Weekly	finance, cfo, operators, business	Inactive	2025-08-01
